TIME[ns],    Itot[uA],
0    -0.528217
0.021413    -0.527435
0.042826    -0.526113
0.064239    -0.524799
0.085652    -0.523981
0.107065    -0.522656
0.128478    -0.521321
0.149891    -0.519977
0.171304    -0.519325
0.192717    -0.517982
0.21413    -0.516615
0.235543    -0.515859
0.256956    -0.514499
0.278369    -0.513149
0.299782    -0.511806
0.321195    -0.511028
0.342608    -0.509804
0.364021    -0.508457
0.385434    -0.50765
0.406847    -0.506302
0.42826    -0.504947
0.449673    -0.504154
0.471086    -0.502807
0.492499    -0.501583
0.513912    -0.50023
0.535325    -0.49941
0.556738    -0.498048
0.578151    -0.49729
0.599564    -0.495912
0.620977    -0.494579
0.64239    -0.493735
0.663803    -0.49256
0.685216    -0.491159
0.706629    -0.490415
0.728042    -0.489012
0.749455    -0.487644
0.770868    -0.486843
0.792281    -0.485486
0.813694    -0.484708
0.835107    -0.483462
0.85652    -0.48263
0.877933    -0.481317
0.899346    -0.479912
0.920759    -0.479108
0.942172    -0.47778
0.963585    -0.476954
0.984998    -0.475709
1.00641    -0.474942
1.02782    -0.473556
1.04924    -0.472733
1.07065    -0.471353
1.09206    -0.470023
1.11348    -0.469195
1.13489    -0.467836
1.1563    -0.46717
1.17772    -0.465804
1.19913    -0.464982
1.22054    -0.463646
1.24195    -0.462844
1.26337    -0.461464
1.28478    -0.460628
1.30619    -0.459426
1.32761    -0.458616
1.34902    -0.457782
1.37043    -0.456423
1.39185    -0.455632
1.41326    -0.454263
1.43467    -0.453461
1.45608    -0.452065
1.4775    -0.451424
1.49891    -0.450033
1.52032    -0.449209
1.54174    -0.448437
1.56315    -0.447094
1.58456    -0.446255
1.60598    -0.444913
1.62739    -0.444072
1.6488    -0.443409
1.67021    -0.442077
1.69163    -0.441228
1.71304    -0.439865
1.73445    -0.439102
1.75587    -0.438272
1.77728    -0.436898
1.79869    -0.436224
1.82011    -0.434848
1.84152    -0.434034
1.86293    -0.433236
1.88434    -0.431889
1.90576    -0.431083
1.92717    -0.430278
1.94858    -0.428939
1.97    -0.428253
1.99141    -0.427445
2.01282    -0.426075
2.03424    -0.425318
2.05565    -0.424473
2.07706    -0.423099
2.09847    -0.422282
2.11989    -0.421112
2.1413    -0.420273
2.16271    -0.419444
2.18413    -0.418652
2.20554    -0.417342
2.22695    -0.416519
2.24837    -0.415695
2.26978    -0.414342
2.29119    -0.413707
2.3126    -0.4129
2.33402    -0.411528
2.35543    -0.410719
2.37684    -0.409944
2.39826    -0.408579
2.41967    -0.407768
2.44108    -0.406962
2.4625    -0.405757
2.48391    -0.404941
2.50532    -0.404144
2.52673    -0.403344
2.54815    -0.40203
2.56956    -0.40121
2.59097    -0.400398
2.61239    -0.399183
2.6338    -0.398399
2.65521    -0.397599
2.67663    -0.396782
2.69804    -0.39545
2.71945    -0.394653
2.74086    -0.393888
2.76228    -0.392489
2.78369    -0.391836
2.8051    -0.391035
2.82652    -0.390258
2.84793    -0.388909
2.86934    -0.388097
2.89076    -0.387304
2.91217    -0.386522
2.93358    -0.385182
2.95499    -0.384508
2.97641    -0.383701
2.99782    -0.382903
3.01923    -0.381595
3.04065    -0.380801
3.06206    -0.379993
3.08347    -0.379204
3.10489    -0.377993
3.1263    -0.377215
3.14771    -0.376421
3.16912    -0.375595
3.19054    -0.374268
3.21195    -0.373493
3.23336    -0.372705
3.25478    -0.371916
3.27619    -0.370678
3.2976    -0.369891
3.31902    -0.369142
3.34043    -0.368349
3.36184    -0.366987
3.38325    -0.366196
3.40467    -0.365411
3.42608    -0.364767
3.44749    -0.363426
3.46891    -0.362617
3.49032    -0.361832
3.51173    -0.361028
3.53315    -0.35973
3.55456    -0.35893
3.57597    -0.358144
3.59738    -0.357481
3.6188    -0.356701
3.64021    -0.355373
3.66162    -0.354578
3.68304    -0.353781
3.70445    -0.353019
3.72586    -0.351681
3.74728    -0.350899
3.76869    -0.350232
3.7901    -0.349437
3.81151    -0.348113
3.83293    -0.347335
3.85434    -0.346538
3.87575    -0.345766
3.89717    -0.344977
3.91858    -0.343775
3.93999    -0.343006
3.96141    -0.34221
3.98282    -0.341428
4.00423    -0.3401
4.02564    -0.339305
4.04706    -0.338545
4.06847    -0.337764
4.08988    -0.337113
4.1113    -0.33576
4.13271    -0.334978
4.15412    -0.3342
4.17554    -0.33342
4.19695    -0.332645
4.21836    -0.331313
4.23977    -0.33068
4.26119    -0.329878
4.2826    -0.32911
4.30401    -0.327775
4.32543    -0.32699
4.34684    -0.326226
4.36825    -0.325423
4.38967    -0.324673
4.41108    -0.323455
4.43249    -0.322666
4.4539    -0.321905
4.47532    -0.321113
4.49673    -0.319808
4.51814    -0.318999
4.53956    -0.318213
4.56097    -0.317451
4.58238    -0.316789
