TIME[ns],    Itot[uA],
6.20977    -0.299052
6.23118    -0.298349
6.2526    -0.29763
6.27401    -0.296951
6.29542    -0.295138
6.31684    -0.294405
6.33825    -0.293695
6.35966    -0.292974
6.38107    -0.292337
6.40249    -0.290504
6.4239    -0.289729
6.44531    -0.289016
6.46673    -0.288276
6.48814    -0.287571
6.50955    -0.285719
6.53097    -0.285
6.55238    -0.284251
6.57379    -0.283472
6.5952    -0.282716
6.61662    -0.280849
6.63803    -0.280046
6.65944    -0.279289
6.68086    -0.278488
6.70227    -0.277757
6.72368    -0.275862
6.7451    -0.27502
6.76651    -0.274228
6.78792    -0.273415
6.80933    -0.272627
6.83075    -0.270717
6.85216    -0.269837
6.87357    -0.269058
6.89499    -0.268219
6.9164    -0.267398
6.93781    -0.265446
6.95923    -0.26457
6.98064    -0.26372
7.00205    -0.262832
7.02346    -0.262033
7.04488    -0.259992
7.06629    -0.259099
7.0877    -0.258212
7.10912    -0.257328
7.13053    -0.25639
7.15194    -0.254375
7.17336    -0.253429
7.19477    -0.252552
7.21618    -0.251624
7.23759    -0.250639
7.25901    -0.248624
7.28042    -0.247675
7.30183    -0.246693
7.32325    -0.245676
7.34466    -0.244697
7.36607    -0.242685
7.38749    -0.241681
7.4089    -0.240693
7.43031    -0.239601
7.45172    -0.238513
7.47314    -0.236444
7.49455    -0.235415
7.51596    -0.234409
7.53738    -0.233287
7.55879    -0.232206
7.5802    -0.230118
7.60162    -0.229038
7.62303    -0.22788
7.64444    -0.226703
7.66585    -0.22557
7.68727    -0.223516
7.70868    -0.222434
7.73009    -0.221217
7.75151    -0.219979
7.77292    -0.218781
7.79433    -0.216575
7.81575    -0.215439
7.83716    -0.214188
7.85857    -0.213009
7.87998    -0.211743
7.9014    -0.209471
7.92281    -0.208179
7.94422    -0.206909
7.96564    -0.205599
7.98705    -0.204336
8.00846    -0.202089
8.02988    -0.200728
8.05129    -0.199379
8.0727    -0.197999
8.09411    -0.196659
8.11553    -0.194277
8.13694    -0.192917
8.15835    -0.191501
8.17977    -0.190044
8.20118    -0.188671
8.22259    -0.186211
8.24401    -0.184766
8.26542    -0.183296
8.28683    -0.181782
8.30824    -0.180274
8.32966    -0.177727
8.35107    -0.17626
8.37248    -0.174712
8.3939    -0.173114
8.41531    -0.171607
8.43672    -0.168976
8.45814    -0.167358
8.47955    -0.165716
8.50096    -0.164089
8.52237    -0.162488
8.54379    -0.159807
8.5652    -0.158137
8.58661    -0.156397
8.60803    -0.154612
8.62944    -0.15292
8.65085    -0.150091
8.67227    -0.148433
8.69368    -0.14669
8.71509    -0.144812
8.7365    -0.142979
8.75792    -0.14006
8.77933    -0.138253
8.80074    -0.136423
8.82216    -0.134542
8.84357    -0.132675
8.86498    -0.129618
8.8864    -0.127753
8.90781    -0.12577
8.92922    -0.123796
8.95063    -0.121866
8.97205    -0.118723
8.99346    -0.116827
9.01487    -0.114761
9.03629    -0.112693
9.0577    -0.110629
9.07911    -0.107474
9.10053    -0.105439
9.12194    -0.103293
9.14335    -0.101147
9.16476    -0.0990632
9.18618    -0.095842
9.20759    -0.0937694
9.229    -0.091561
9.25042    -0.0893481
9.27183    -0.0871403
9.29324    -0.0849373
9.31466    -0.0816556
9.33607    -0.0795276
9.35748    -0.0772707
9.37889    -0.0750156
9.40031    -0.0727594
9.42172    -0.0694339
9.44313    -0.0671768
9.46455    -0.0649207
9.48596    -0.0626355
9.50737    -0.0604148
9.52879    -0.0570578
9.5502    -0.0547805
9.57161    -0.0525053
9.59302    -0.050223
9.61444    -0.0501109
9.63585    -0.0499955
9.65726    -0.049942
9.67868    -0.0498223
9.70009    -0.0497057
9.7215    -0.0495921
9.74292    -0.0494729
9.76433    -0.0493538
9.78574    -0.0492409
9.80715    -0.0491211
9.82857    -0.0490693
9.84998    -0.0489524
9.87139    -0.048839
9.89281    -0.0487257
9.91422    -0.0486158
9.93563    -0.048502
9.95705    -0.0483907
9.97846    -0.0482801
9.99987    -0.048227
10.0213    -0.0481138
10.0427    -0.048
10.0641    -0.0478891
10.0855    -0.0477776
10.1069    -0.0476666
10.1283    -0.0475581
10.1498    -0.0474463
10.1712    -0.0473931
10.1926    -0.0472822
10.214    -0.0471682
10.2354    -0.0470609
10.2568    -0.046944
10.2782    -0.0468236
10.2997    -0.0467168
10.3211    -0.0466735
10.3425    -0.0465669
10.3639    -0.0464592
10.3853    -0.0463506
10.4067    -0.0462466
10.4281    -0.0461417
10.4495    -0.0460306
10.471    -0.0459233
10.4924    -0.0458742
10.5138    -0.0457679
10.5352    -0.0456619
10.5566    -0.0455514
10.578    -0.0454438
10.5994    -0.0453332
10.6208    -0.0452274
10.6423    -0.0451164
10.6637    -0.0450739
10.6851    -0.0449703
10.7065    -0.044861
10.7279    -0.0447605
10.7493    -0.0446538
10.7707    -0.0445508
10.7922    -0.0444475
10.8136    -0.044344
10.835    -0.0442983
10.8564    -0.0441948
10.8778    -0.0440893
10.8992    -0.0439852
10.9206    -0.0438804
10.942    -0.0437755
10.9635    -0.0436702
10.9849    -0.0436246
11.0063    -0.0435218
11.0277    -0.0434151
11.0491    -0.0433121
11.0705    -0.0432123
11.0919    -0.0431101
11.1133    -0.04301
11.1348    -0.0429107
11.1562    -0.0428702
11.1776    -0.0427643
11.199    -0.0426638
11.2204    -0.0425617
11.2418    -0.0424651
11.2632    -0.0423615
11.2847    -0.0422614
11.3061    -0.0421583
11.3275    -0.0421224
11.3489    -0.0420221
11.3703    -0.0419193
11.3917    -0.0418185
11.4131    -0.0417198
11.4345    -0.0416151
11.456    -0.0415118
11.4774    -0.0414148
11.4988    -0.041381
11.5202    -0.0412823
11.5416    -0.041186
11.563    -0.0410877
11.5844    -0.040988
11.6058    -0.0408909
11.6273    -0.0407937
11.6487    -0.0406936
11.6701    -0.0406598
11.6915    -0.0405578
11.7129    -0.0404574
11.7343    -0.040362
11.7557    -0.0402622
11.7772    -0.0401656
11.7986    -0.0400692
11.82    -0.0399712
11.8414    -0.0399366
11.8628    -0.0398426
11.8842    -0.0397459
11.9056    -0.0396467
11.927    -0.0395524
11.9485    -0.0394571
11.9699    -0.0393636
11.9913    -0.0392664
12.0127    -0.0392341
12.0341    -0.0391364
12.0555    -0.0390441
12.0769    -0.0389494
12.0983    -0.0388527
12.1198    -0.0387585
12.1412    -0.0386644
12.1626    -0.0385658
12.184    -0.0385314
12.2054    -0.0384321
12.2268    -0.0383376
12.2482    -0.038246
12.2696    -0.0381522
12.2911    -0.0380604
12.3125    -0.0379697
12.3339    -0.0378758
12.3553    -0.0378493
12.3767    -0.0377549
12.3981    -0.0376627
12.4195    -0.0375689
12.441    -0.0374755
12.4624    -0.0373839
12.4838    -0.0372902
12.5052    -0.0372609
12.5266    -0.0371686
12.548    -0.0370766
12.5694    -0.0369834
12.5908    -0.0368913
12.6123    -0.0367981
12.6337    -0.036704
12.6551    -0.0366165
12.6765    -0.0365881
12.6979    -0.0364983
12.7193    -0.0364093
12.7407    -0.0363177
12.7621    -0.0362285
12.7836    -0.0361358
12.805    -0.0360473
12.8264    -0.0359575
12.8478    -0.0359284
12.8692    -0.0358398
12.8906    -0.0357501
12.912    -0.0356558
12.9335    -0.0355644
12.9549    -0.0354753
12.9763    -0.0353859
12.9977    -0.0352969
13.0191    -0.035206
13.0405    -0.0351815
13.0619    -0.0350945
13.0833    -0.0350056
13.1048    -0.0349184
13.1262    -0.0348293
13.1476    -0.0347402
13.169    -0.0346536
13.1904    -0.0345648
13.2118    -0.03454
13.2332    -0.0344513
13.2546    -0.0343647
13.2761    -0.034279
13.2975    -0.0341924
13.3189    -0.0341017
13.3403    -0.0340153
13.3617    -0.033926
13.3831    -0.0338981
13.4045    -0.0338091
13.426    -0.0337241
13.4474    -0.0336403
13.4688    -0.0335571
13.4902    -0.0334698
13.5116    -0.0333845
13.533    -0.0332978
13.5544    -0.033274
13.5758    -0.0331874
13.5973    -0.0331029
13.6187    -0.0330177
13.6401    -0.0329293
13.6615    -0.032843
13.6829    -0.0327566
13.7043    -0.032672
13.7257    -0.0326502
13.7471    -0.0325657
13.7686    -0.0324796
13.79    -0.0323946
13.8114    -0.0323094
13.8328    -0.0322248
13.8542    -0.0321401
13.8756    -0.0320565
13.897    -0.0320364
13.9185    -0.0319518
13.9399    -0.0318669
13.9613    -0.0317836
13.9827    -0.0316996
14.0041    -0.0316178
14.0255    -0.0315346
14.0469    -0.0314503
14.0683    -0.0313658
14.0898    -0.0313462
14.1112    -0.0312619
14.1326    -0.0311771
14.154    -0.0310906
14.1754    -0.0310074
14.1968    -0.0309225
14.2182    -0.030842
14.2396    -0.0307601
14.2611    -0.030742
14.2825    -0.0306598
14.3039    -0.0305792
14.3253    -0.0304978
14.3467    -0.030417
14.3681    -0.0303356
14.3895    -0.0302518
14.411    -0.0301693
14.4324    -0.0301488
14.4538    -0.0300675
14.4752    -0.0299861
14.4966    -0.0299054
14.518    -0.0298232
14.5394    -0.029743
14.5608    -0.0296616
14.5823    -0.0295797
14.6037    -0.0294961
14.6251    -0.0294792
14.6465    -0.0293999
14.6679    -0.0293191
14.6893    -0.0292397
14.7107    -0.0291596
14.7321    -0.0290784
14.7536    -0.0289979
14.775    -0.0289183
14.7964    -0.0289004
14.8178    -0.0288201
14.8392    -0.0287415
14.8606    -0.0286619
14.882    -0.0285798
14.9034    -0.0284965
14.9249    -0.0284171
14.9463    -0.0283384
14.9677    -0.0282588
14.9891    -0.0282404
15.0105    -0.0281629
15.0319    -0.0280834
15.0533    -0.0280055
15.0748    -0.0279275
15.0962    -0.0278492
15.1176    -0.0277715
15.139    -0.0276923
15.1604    -0.0276765
15.1818    -0.0275985
15.2032    -0.0275199
15.2246    -0.0274422
15.2461    -0.0273642
15.2675    -0.0272863
15.2889    -0.027207
15.3103    -0.0271294
15.3317    -0.0270489
15.3531    -0.0270321
15.3745    -0.0269543
15.3959    -0.0268771
15.4174    -0.0268014
15.4388    -0.0267249
15.4602    -0.0266474
15.4816    -0.026571
15.503    -0.0264922
15.5244    -0.0264158
15.5458    -0.0264028
15.5673    -0.0263252
15.5887    -0.0262487
15.6101    -0.0261716
15.6315    -0.0260931
15.6529    -0.0260145
15.6743    -0.0259385
15.6957    -0.0258623
15.7171    -0.025786
15.7386    -0.025771
15.76    -0.0256948
15.7814    -0.0256188
15.8028    -0.0255425
15.8242    -0.0254677
15.8456    -0.0253915
15.867    -0.0253156
15.8884    -0.0252405
15.9099    -0.0251648
15.9313    -0.0251519
15.9527    -0.0250756
15.9741    -0.0250006
15.9955    -0.0249262
16.0169    -0.0248513
16.0383    -0.0247757
16.0598    -0.0247009
16.0812    -0.0246243
16.1026    -0.0245493
16.124    -0.0245345
16.1454    -0.0244586
16.1668    -0.0243836
16.1882    -0.0243105
16.2096    -0.0242362
16.2311    -0.0241619
16.2525    -0.0240874
16.2739    -0.0240138
16.2953    -0.0239394
16.3167    -0.0238646
16.3381    -0.0238536
16.3595    -0.02378
16.3809    -0.0237042
16.4024    -0.02363
16.4238    -0.0235551
16.4452    -0.0234815
16.4666    -0.0234082
16.488    -0.0233345
16.5094    -0.0232603
16.5308    -0.0232492
16.5523    -0.0231744
16.5737    -0.0231008
16.5951    -0.0230273
16.6165    -0.0229544
16.6379    -0.022882
16.6593    -0.0228086
16.6807    -0.0227351
16.7021    -0.0226626
16.7236    -0.022589
16.745    -0.0225794
16.7664    -0.0225074
16.7878    -0.0224339
16.8092    -0.0223608
16.8306    -0.0222883
16.852    -0.0222151
16.8734    -0.0221416
16.8949    -0.0220674
16.9163    -0.0219949
16.9377    -0.0219217
16.9591    -0.0219117
16.9805    -0.0218399
17.0019    -0.0217686
17.0233    -0.0216965
17.0447    -0.0216253
17.0662    -0.0215543
17.0876    -0.0214824
17.109    -0.0214111
17.1304    -0.0213397
17.1518    -0.0212659
17.1732    -0.0212561
17.1946    -0.0211848
17.2161    -0.0211134
17.2375    -0.0210421
17.2589    -0.0209711
17.2803    -0.020899
17.3017    -0.0208277
17.3231    -0.0207556
17.3445    -0.0206826
17.3659    -0.0206115
17.3874    -0.0206039
17.4088    -0.0205328
17.4302    -0.0204625
17.4516    -0.0203916
17.473    -0.0203203
17.4944    -0.02025
17.5158    -0.0201797
17.5372    -0.020109
17.5587    -0.0200373
17.5801    -0.0199672
17.6015    -0.019897
