TIME[ns],    Itot[uA],
6.18836    -0.300504
6.20977    -0.299861
6.23118    -0.299155
6.2526    -0.298434
6.27401    -0.297753
6.29542    -0.295932
6.31684    -0.295197
6.33825    -0.294485
6.35966    -0.293762
6.38107    -0.293121
6.40249    -0.29128
6.4239    -0.290502
6.44531    -0.289787
6.46673    -0.289044
6.48814    -0.288338
6.50955    -0.286476
6.53097    -0.285753
6.55238    -0.285002
6.57379    -0.284219
6.5952    -0.283462
6.61662    -0.281585
6.63803    -0.280779
6.65944    -0.28002
6.68086    -0.279215
6.70227    -0.27848
6.72368    -0.276575
6.7451    -0.27573
6.76651    -0.274935
6.78792    -0.274119
6.80933    -0.273328
6.83075    -0.271408
6.85216    -0.270524
6.87357    -0.26974
6.89499    -0.268898
6.9164    -0.268073
6.93781    -0.266112
6.95923    -0.265232
6.98064    -0.264379
7.00205    -0.263486
7.02346    -0.262682
7.04488    -0.260631
7.06629    -0.259734
7.0877    -0.258842
7.10912    -0.257955
7.13053    -0.257012
7.15194    -0.254987
7.17336    -0.254036
7.19477    -0.253154
7.21618    -0.252221
7.23759    -0.251232
7.25901    -0.249206
7.28042    -0.248253
7.30183    -0.247266
7.32325    -0.246288
7.34466    -0.245261
7.36607    -0.243236
7.38749    -0.242227
7.4089    -0.241234
7.43031    -0.240137
7.45172    -0.239044
7.47314    -0.236964
7.49455    -0.235929
7.51596    -0.234916
7.53738    -0.233789
7.55879    -0.232702
7.5802    -0.230603
7.60162    -0.229518
7.62303    -0.228354
7.64444    -0.227171
7.66585    -0.226032
7.68727    -0.223965
7.70868    -0.222877
7.73009    -0.221654
7.75151    -0.22041
7.77292    -0.219206
7.79433    -0.216988
7.81575    -0.215845
7.83716    -0.214588
7.85857    -0.213401
7.87998    -0.212128
7.9014    -0.209844
7.92281    -0.208543
7.94422    -0.207268
7.96564    -0.205951
7.98705    -0.204681
8.00846    -0.202421
8.02988    -0.201052
8.05129    -0.199696
8.0727    -0.198309
8.09411    -0.196961
8.11553    -0.194566
8.13694    -0.193199
8.15835    -0.191775
8.17977    -0.190309
8.20118    -0.188929
8.22259    -0.186455
8.24401    -0.185002
8.26542    -0.183524
8.28683    -0.182002
8.30824    -0.180486
8.32966    -0.177924
8.35107    -0.176448
8.37248    -0.174892
8.3939    -0.173285
8.41531    -0.17177
8.43672    -0.169125
8.45814    -0.167497
8.47955    -0.165847
8.50096    -0.164209
8.52237    -0.162599
8.54379    -0.159903
8.5652    -0.158224
8.58661    -0.156475
8.60803    -0.15468
8.62944    -0.152979
8.65085    -0.150134
8.67227    -0.148465
8.69368    -0.146713
8.71509    -0.144824
8.7365    -0.142981
8.75792    -0.140046
8.77933    -0.138229
8.80074    -0.13639
8.82216    -0.134498
8.84357    -0.13262
8.86498    -0.129545
8.8864    -0.12767
8.90781    -0.125677
8.92922    -0.123692
8.95063    -0.121752
8.97205    -0.11859
8.99346    -0.116683
9.01487    -0.114605
9.03629    -0.112526
9.0577    -0.110451
9.07911    -0.107279
9.10053    -0.105229
9.12194    -0.103074
9.14335    -0.100917
9.16476    -0.09882
9.18618    -0.095581
9.20759    -0.0934971
9.229    -0.0912768
9.25042    -0.0890518
9.27183    -0.086832
9.29324    -0.0846172
9.31466    -0.0813174
9.33607    -0.079176
9.35748    -0.0769069
9.37889    -0.0746395
9.40031    -0.072371
9.42172    -0.0690273
9.44313    -0.0667579
9.46455    -0.0644895
9.48596    -0.0621919
9.50737    -0.0599573
9.52879    -0.0565818
9.5502    -0.0542922
9.57161    -0.0520048
9.59302    -0.0497101
9.61444    -0.049598
9.63585    -0.0494824
9.65726    -0.0494273
9.67868    -0.0493074
9.70009    -0.0491906
9.7215    -0.049077
9.74292    -0.0489576
9.76433    -0.0488382
9.78574    -0.0487253
9.80715    -0.0486053
9.82857    -0.0485519
9.84998    -0.0484349
9.87139    -0.0483215
9.89281    -0.0482081
9.91422    -0.0480982
9.93563    -0.0479844
9.95705    -0.0478729
9.97846    -0.0477623
9.99987    -0.0477076
10.0213    -0.0475944
10.0427    -0.0474804
10.0641    -0.0473694
10.0855    -0.0472579
10.1069    -0.0471469
10.1283    -0.0470385
10.1498    -0.0469266
10.1712    -0.0468718
10.1926    -0.0467608
10.214    -0.0466467
10.2354    -0.0465395
10.2568    -0.0464224
10.2782    -0.0463017
10.2997    -0.0461949
10.3211    -0.0461502
10.3425    -0.0460437
10.3639    -0.0459359
10.3853    -0.0458273
10.4067    -0.0457235
10.4281    -0.0456187
10.4495    -0.0455075
10.471    -0.0454003
10.4924    -0.0453526
10.5138    -0.0452433
10.5352    -0.0451374
10.5566    -0.0450269
10.578    -0.0449192
10.5994    -0.0448086
10.6208    -0.0447029
10.6423    -0.0445918
10.6637    -0.0445479
10.6851    -0.0444444
10.7065    -0.0443351
10.7279    -0.0442348
10.7493    -0.044128
10.7707    -0.0440252
10.7922    -0.0439219
10.8136    -0.0438153
10.835    -0.0437738
10.8564    -0.0436679
10.8778    -0.0435625
10.8992    -0.0434584
10.9206    -0.0433538
10.942    -0.0432488
10.9635    -0.0431436
10.9849    -0.0430966
11.0063    -0.0429939
11.0277    -0.0428872
11.0491    -0.0427843
11.0705    -0.0426847
11.0919    -0.0425826
11.1133    -0.0424826
11.1348    -0.0423835
11.1562    -0.0423417
11.1776    -0.0422357
11.199    -0.0421354
11.2204    -0.0420333
11.2418    -0.0419371
11.2632    -0.0418335
11.2847    -0.0417336
11.3061    -0.0416306
11.3275    -0.0415934
11.3489    -0.0414933
11.3703    -0.0413906
11.3917    -0.0412899
11.4131    -0.0411913
11.4345    -0.0410868
11.456    -0.0409835
11.4774    -0.0408867
11.4988    -0.0408506
11.5202    -0.0407532
11.5416    -0.0406572
11.563    -0.040559
11.5844    -0.0404595
11.6058    -0.0403626
11.6273    -0.0402656
11.6487    -0.0401657
11.6701    -0.0401306
11.6915    -0.0400287
11.7129    -0.0399284
11.7343    -0.0398327
11.7557    -0.0397337
11.7772    -0.0396373
