TIME[ns],     Itot[uA],      Ie[uA],     Ih[uA],      Ieg[uA],      Ihg[uA] 
0.000000E+00    -3.597608E-01   -2.628715E-01    -9.688938E-02   0.000000E+00   0.000000E+00 
1.000000E-02    -3.597816E-01   -2.628970E-01    -9.688464E-02   0.000000E+00   0.000000E+00 
2.000000E-02    -3.597783E-01   -2.629237E-01    -9.685464E-02   0.000000E+00   0.000000E+00 
3.000000E-02    -3.597747E-01   -2.629501E-01    -9.682461E-02   0.000000E+00   0.000000E+00 
4.000000E-02    -3.597976E-01   -2.629770E-01    -9.682066E-02   0.000000E+00   0.000000E+00 
5.000000E-02    -3.597941E-01   -2.630036E-01    -9.679049E-02   0.000000E+00   0.000000E+00 
6.000000E-02    -3.596440E-01   -2.628573E-01    -9.678676E-02   0.000000E+00   0.000000E+00 
7.000000E-02    -3.594674E-01   -2.627110E-01    -9.675636E-02   0.000000E+00   0.000000E+00 
8.000000E-02    -3.592912E-01   -2.625650E-01    -9.672618E-02   0.000000E+00   0.000000E+00 
9.000000E-02    -3.592272E-01   -2.625047E-01    -9.672244E-02   0.000000E+00   0.000000E+00 
1.000000E-01    -3.590511E-01   -2.623589E-01    -9.669221E-02   0.000000E+00   0.000000E+00 
1.100000E-01    -3.589010E-01   -2.622126E-01    -9.668839E-02   0.000000E+00   0.000000E+00 
1.200000E-01    -3.587246E-01   -2.620664E-01    -9.665821E-02   0.000000E+00   0.000000E+00 
1.300000E-01    -3.585484E-01   -2.619205E-01    -9.662783E-02   0.000000E+00   0.000000E+00 
1.400000E-01    -3.584847E-01   -2.618607E-01    -9.662400E-02   0.000000E+00   0.000000E+00 
1.500000E-01    -3.583081E-01   -2.617143E-01    -9.659381E-02   0.000000E+00   0.000000E+00 
1.600000E-01    -3.581582E-01   -2.615681E-01    -9.659003E-02   0.000000E+00   0.000000E+00 
1.700000E-01    -3.579817E-01   -2.614219E-01    -9.655980E-02   0.000000E+00   0.000000E+00 
1.800000E-01    -3.578913E-01   -2.613617E-01    -9.652957E-02   0.000000E+00   0.000000E+00 
1.900000E-01    -3.577418E-01   -2.612159E-01    -9.652591E-02   0.000000E+00   0.000000E+00 
2.000000E-01    -3.575652E-01   -2.610695E-01    -9.649569E-02   0.000000E+00   0.000000E+00 
2.100000E-01    -3.574149E-01   -2.609230E-01    -9.649190E-02   0.000000E+00   0.000000E+00 
2.200000E-01    -3.573251E-01   -2.608635E-01    -9.646160E-02   0.000000E+00   0.000000E+00 
2.300000E-01    -3.571487E-01   -2.607174E-01    -9.643130E-02   0.000000E+00   0.000000E+00 
2.400000E-01    -3.569987E-01   -2.605712E-01    -9.642754E-02   0.000000E+00   0.000000E+00 
2.500000E-01    -3.568222E-01   -2.604247E-01    -9.639747E-02   0.000000E+00   0.000000E+00 
2.600000E-01    -3.566722E-01   -2.602784E-01    -9.639381E-02   0.000000E+00   0.000000E+00 
2.700000E-01    -3.565821E-01   -2.602185E-01    -9.636361E-02   0.000000E+00   0.000000E+00 
2.800000E-01    -3.564058E-01   -2.600723E-01    -9.633342E-02   0.000000E+00   0.000000E+00 
2.900000E-01    -3.562557E-01   -2.599260E-01    -9.632971E-02   0.000000E+00   0.000000E+00 
3.000000E-01    -3.560793E-01   -2.597797E-01    -9.629959E-02   0.000000E+00   0.000000E+00 
3.100000E-01    -3.560155E-01   -2.597197E-01    -9.629580E-02   0.000000E+00   0.000000E+00 
3.200000E-01    -3.558392E-01   -2.595736E-01    -9.626561E-02   0.000000E+00   0.000000E+00 
3.300000E-01    -3.556631E-01   -2.594278E-01    -9.623535E-02   0.000000E+00   0.000000E+00 
3.400000E-01    -3.555129E-01   -2.592812E-01    -9.623173E-02   0.000000E+00   0.000000E+00 
3.500000E-01    -3.554227E-01   -2.592212E-01    -9.620155E-02   0.000000E+00   0.000000E+00 
3.600000E-01    -3.552722E-01   -2.590742E-01    -9.619800E-02   0.000000E+00   0.000000E+00 
3.700000E-01    -3.550956E-01   -2.589280E-01    -9.616757E-02   0.000000E+00   0.000000E+00 
3.800000E-01    -3.549197E-01   -2.587822E-01    -9.613752E-02   0.000000E+00   0.000000E+00 
3.900000E-01    -3.548568E-01   -2.587229E-01    -9.613391E-02   0.000000E+00   0.000000E+00 
4.000000E-01    -3.546799E-01   -2.585762E-01    -9.610363E-02   0.000000E+00   0.000000E+00 
4.100000E-01    -3.545299E-01   -2.584298E-01    -9.610004E-02   0.000000E+00   0.000000E+00 
4.200000E-01    -3.543531E-01   -2.582833E-01    -9.606977E-02   0.000000E+00   0.000000E+00 
4.300000E-01    -3.541766E-01   -2.581370E-01    -9.603966E-02   0.000000E+00   0.000000E+00 
4.400000E-01    -3.541131E-01   -2.580771E-01    -9.603598E-02   0.000000E+00   0.000000E+00 
4.500000E-01    -3.539360E-01   -2.579301E-01    -9.600581E-02   0.000000E+00   0.000000E+00 
4.600000E-01    -3.537863E-01   -2.577842E-01    -9.600208E-02   0.000000E+00   0.000000E+00 
4.700000E-01    -3.536096E-01   -2.576376E-01    -9.597200E-02   0.000000E+00   0.000000E+00 
4.800000E-01    -3.535199E-01   -2.575781E-01    -9.594185E-02   0.000000E+00   0.000000E+00 
4.900000E-01    -3.533700E-01   -2.574316E-01    -9.593843E-02   0.000000E+00   0.000000E+00 
5.000000E-01    -3.531940E-01   -2.572858E-01    -9.590819E-02   0.000000E+00   0.000000E+00 
5.100000E-01    -3.530436E-01   -2.571391E-01    -9.590453E-02   0.000000E+00   0.000000E+00 
5.200000E-01    -3.529533E-01   -2.570789E-01    -9.587448E-02   0.000000E+00   0.000000E+00 
5.300000E-01    -3.527767E-01   -2.569323E-01    -9.584443E-02   0.000000E+00   0.000000E+00 
5.400000E-01    -3.526269E-01   -2.567862E-01    -9.584070E-02   0.000000E+00   0.000000E+00 
5.500000E-01    -3.524504E-01   -2.566397E-01    -9.581068E-02   0.000000E+00   0.000000E+00 
5.600000E-01    -3.523865E-01   -2.565796E-01    -9.580694E-02   0.000000E+00   0.000000E+00 
5.700000E-01    -3.522102E-01   -2.564333E-01    -9.577690E-02   0.000000E+00   0.000000E+00 
5.800000E-01    -3.520335E-01   -2.562867E-01    -9.574685E-02   0.000000E+00   0.000000E+00 
5.900000E-01    -3.518840E-01   -2.561406E-01    -9.574335E-02   0.000000E+00   0.000000E+00 
6.000000E-01    -3.517939E-01   -2.560807E-01    -9.571317E-02   0.000000E+00   0.000000E+00 
6.100000E-01    -3.516437E-01   -2.559342E-01    -9.570950E-02   0.000000E+00   0.000000E+00 
6.200000E-01    -3.514676E-01   -2.557881E-01    -9.567946E-02   0.000000E+00   0.000000E+00 
6.300000E-01    -3.512909E-01   -2.556413E-01    -9.564958E-02   0.000000E+00   0.000000E+00 
6.400000E-01    -3.512270E-01   -2.555812E-01    -9.564581E-02   0.000000E+00   0.000000E+00 
6.500000E-01    -3.510505E-01   -2.554347E-01    -9.561580E-02   0.000000E+00   0.000000E+00 
6.600000E-01    -3.509006E-01   -2.552884E-01    -9.561221E-02   0.000000E+00   0.000000E+00 
6.700000E-01    -3.507239E-01   -2.551419E-01    -9.558204E-02   0.000000E+00   0.000000E+00 
6.800000E-01    -3.506342E-01   -2.550822E-01    -9.555204E-02   0.000000E+00   0.000000E+00 
6.900000E-01    -3.504842E-01   -2.549357E-01    -9.554844E-02   0.000000E+00   0.000000E+00 
7.000000E-01    -3.503070E-01   -2.547887E-01    -9.551836E-02   0.000000E+00   0.000000E+00 
7.100000E-01    -3.501574E-01   -2.546426E-01    -9.551480E-02   0.000000E+00   0.000000E+00 
7.200000E-01    -3.499805E-01   -2.544956E-01    -9.548489E-02   0.000000E+00   0.000000E+00 
7.300000E-01    -3.498903E-01   -2.544354E-01    -9.545490E-02   0.000000E+00   0.000000E+00 
7.400000E-01    -3.497407E-01   -2.542894E-01    -9.545135E-02   0.000000E+00   0.000000E+00 
7.500000E-01    -3.495640E-01   -2.541427E-01    -9.542128E-02   0.000000E+00   0.000000E+00 
7.600000E-01    -3.494140E-01   -2.539962E-01    -9.541780E-02   0.000000E+00   0.000000E+00 
7.700000E-01    -3.493244E-01   -2.539367E-01    -9.538773E-02   0.000000E+00   0.000000E+00 
7.800000E-01    -3.491481E-01   -2.537903E-01    -9.535776E-02   0.000000E+00   0.000000E+00 
7.900000E-01    -3.489980E-01   -2.536436E-01    -9.535437E-02   0.000000E+00   0.000000E+00 
8.000000E-01    -3.488211E-01   -2.534968E-01    -9.532423E-02   0.000000E+00   0.000000E+00 
8.100000E-01    -3.487574E-01   -2.534366E-01    -9.532082E-02   0.000000E+00   0.000000E+00 
8.200000E-01    -3.485807E-01   -2.532898E-01    -9.529086E-02   0.000000E+00   0.000000E+00 
8.300000E-01    -3.484045E-01   -2.531437E-01    -9.526082E-02   0.000000E+00   0.000000E+00 
8.400000E-01    -3.483411E-01   -2.530838E-01    -9.525731E-02   0.000000E+00   0.000000E+00 
8.500000E-01    -3.481647E-01   -2.529373E-01    -9.522740E-02   0.000000E+00   0.000000E+00 
8.600000E-01    -3.480147E-01   -2.527909E-01    -9.522383E-02   0.000000E+00   0.000000E+00 
8.700000E-01    -3.478379E-01   -2.526440E-01    -9.519391E-02   0.000000E+00   0.000000E+00 
8.800000E-01    -3.477476E-01   -2.525838E-01    -9.516383E-02   0.000000E+00   0.000000E+00 
8.900000E-01    -3.475976E-01   -2.524373E-01    -9.516029E-02   0.000000E+00   0.000000E+00 
9.000000E-01    -3.474213E-01   -2.522908E-01    -9.513049E-02   0.000000E+00   0.000000E+00 
9.100000E-01    -3.472707E-01   -2.521439E-01    -9.512680E-02   0.000000E+00   0.000000E+00 
9.200000E-01    -3.471807E-01   -2.520837E-01    -9.509693E-02   0.000000E+00   0.000000E+00 
9.300000E-01    -3.470043E-01   -2.519372E-01    -9.506709E-02   0.000000E+00   0.000000E+00 
9.400000E-01    -3.468543E-01   -2.517907E-01    -9.506356E-02   0.000000E+00   0.000000E+00 
9.500000E-01    -3.466784E-01   -2.516448E-01    -9.503361E-02   0.000000E+00   0.000000E+00 
9.600000E-01    -3.466145E-01   -2.515842E-01    -9.503029E-02   0.000000E+00   0.000000E+00 
9.700000E-01    -3.464380E-01   -2.514377E-01    -9.500025E-02   0.000000E+00   0.000000E+00 
9.800000E-01    -3.462613E-01   -2.512908E-01    -9.497052E-02   0.000000E+00   0.000000E+00 
9.900000E-01    -3.461113E-01   -2.511444E-01    -9.496691E-02   0.000000E+00   0.000000E+00 
1.000000E+00    -3.460212E-01   -2.510842E-01    -9.493702E-02   0.000000E+00   0.000000E+00 
1.010000E+00    -3.458709E-01   -2.509372E-01    -9.493366E-02   0.000000E+00   0.000000E+00 
1.020000E+00    -3.456947E-01   -2.507910E-01    -9.490378E-02   0.000000E+00   0.000000E+00 
1.030000E+00    -3.455180E-01   -2.506444E-01    -9.487365E-02   0.000000E+00   0.000000E+00 
1.040000E+00    -3.454550E-01   -2.505845E-01    -9.487043E-02   0.000000E+00   0.000000E+00 
1.050000E+00    -3.452786E-01   -2.504379E-01    -9.484063E-02   0.000000E+00   0.000000E+00 
1.060000E+00    -3.451282E-01   -2.502913E-01    -9.483694E-02   0.000000E+00   0.000000E+00 
1.070000E+00    -3.449519E-01   -2.501445E-01    -9.480742E-02   0.000000E+00   0.000000E+00 
1.080000E+00    -3.448618E-01   -2.500843E-01    -9.477758E-02   0.000000E+00   0.000000E+00 
1.090000E+00    -3.447114E-01   -2.499376E-01    -9.477376E-02   0.000000E+00   0.000000E+00 
1.100000E+00    -3.445345E-01   -2.497905E-01    -9.474401E-02   0.000000E+00   0.000000E+00 
1.110000E+00    -3.444718E-01   -2.497309E-01    -9.474088E-02   0.000000E+00   0.000000E+00 
1.120000E+00    -3.442952E-01   -2.495846E-01    -9.471054E-02   0.000000E+00   0.000000E+00 
1.130000E+00    -3.441188E-01   -2.494379E-01    -9.468087E-02   0.000000E+00   0.000000E+00 
1.140000E+00    -3.439689E-01   -2.492912E-01    -9.467774E-02   0.000000E+00   0.000000E+00 
1.150000E+00    -3.438782E-01   -2.492309E-01    -9.464738E-02   0.000000E+00   0.000000E+00 
1.160000E+00    -3.437285E-01   -2.490842E-01    -9.464434E-02   0.000000E+00   0.000000E+00 
1.170000E+00    -3.435519E-01   -2.489372E-01    -9.461473E-02   0.000000E+00   0.000000E+00 
1.180000E+00    -3.433748E-01   -2.487904E-01    -9.458438E-02   0.000000E+00   0.000000E+00 
1.190000E+00    -3.433111E-01   -2.487298E-01    -9.458128E-02   0.000000E+00   0.000000E+00 
1.200000E+00    -3.431357E-01   -2.485840E-01    -9.455170E-02   0.000000E+00   0.000000E+00 
1.210000E+00    -3.429849E-01   -2.484371E-01    -9.454781E-02   0.000000E+00   0.000000E+00 
1.220000E+00    -3.428953E-01   -2.483768E-01    -9.451844E-02   0.000000E+00   0.000000E+00 
1.230000E+00    -3.427192E-01   -2.482303E-01    -9.448886E-02   0.000000E+00   0.000000E+00 
1.240000E+00    -3.425687E-01   -2.480836E-01    -9.448512E-02   0.000000E+00   0.000000E+00 
1.250000E+00    -3.423918E-01   -2.479364E-01    -9.445544E-02   0.000000E+00   0.000000E+00 
1.260000E+00    -3.423285E-01   -2.478761E-01    -9.445232E-02   0.000000E+00   0.000000E+00 
1.270000E+00    -3.421518E-01   -2.477293E-01    -9.442250E-02   0.000000E+00   0.000000E+00 
1.280000E+00    -3.419750E-01   -2.475826E-01    -9.439243E-02   0.000000E+00   0.000000E+00 
1.290000E+00    -3.418256E-01   -2.474361E-01    -9.438953E-02   0.000000E+00   0.000000E+00 
1.300000E+00    -3.417354E-01   -2.473756E-01    -9.435981E-02   0.000000E+00   0.000000E+00 
1.310000E+00    -3.415856E-01   -2.472295E-01    -9.435614E-02   0.000000E+00   0.000000E+00 
1.320000E+00    -3.414096E-01   -2.470830E-01    -9.432665E-02   0.000000E+00   0.000000E+00 
1.330000E+00    -3.413193E-01   -2.470224E-01    -9.429685E-02   0.000000E+00   0.000000E+00 
1.340000E+00    -3.411682E-01   -2.468751E-01    -9.429310E-02   0.000000E+00   0.000000E+00 
1.350000E+00    -3.409923E-01   -2.467286E-01    -9.426371E-02   0.000000E+00   0.000000E+00 
1.360000E+00    -3.408422E-01   -2.465818E-01    -9.426041E-02   0.000000E+00   0.000000E+00 
1.370000E+00    -3.407517E-01   -2.465211E-01    -9.423060E-02   0.000000E+00   0.000000E+00 
1.380000E+00    -3.405757E-01   -2.463748E-01    -9.420089E-02   0.000000E+00   0.000000E+00 
1.390000E+00    -3.404260E-01   -2.462283E-01    -9.419769E-02   0.000000E+00   0.000000E+00 
1.400000E+00    -3.402496E-01   -2.460816E-01    -9.416799E-02   0.000000E+00   0.000000E+00 
1.410000E+00    -3.401859E-01   -2.460212E-01    -9.416464E-02   0.000000E+00   0.000000E+00 
1.420000E+00    -3.400099E-01   -2.458749E-01    -9.413508E-02   0.000000E+00   0.000000E+00 
1.430000E+00    -3.398327E-01   -2.457275E-01    -9.410519E-02   0.000000E+00   0.000000E+00 
1.440000E+00    -3.397689E-01   -2.456671E-01    -9.410187E-02   0.000000E+00   0.000000E+00 
1.450000E+00    -3.395923E-01   -2.455199E-01    -9.407241E-02   0.000000E+00   0.000000E+00 
1.460000E+00    -3.394423E-01   -2.453732E-01    -9.406915E-02   0.000000E+00   0.000000E+00 
1.470000E+00    -3.392660E-01   -2.452267E-01    -9.403937E-02   0.000000E+00   0.000000E+00 
1.480000E+00    -3.391766E-01   -2.451668E-01    -9.400977E-02   0.000000E+00   0.000000E+00 
1.490000E+00    -3.390267E-01   -2.450202E-01    -9.400653E-02   0.000000E+00   0.000000E+00 
1.500000E+00    -3.388505E-01   -2.448735E-01    -9.397704E-02   0.000000E+00   0.000000E+00 
1.510000E+00    -3.387865E-01   -2.448129E-01    -9.397364E-02   0.000000E+00   0.000000E+00 
1.520000E+00    -3.386095E-01   -2.446655E-01    -9.394398E-02   0.000000E+00   0.000000E+00 
1.530000E+00    -3.384330E-01   -2.445185E-01    -9.391453E-02   0.000000E+00   0.000000E+00 
1.540000E+00    -3.382826E-01   -2.443715E-01    -9.391105E-02   0.000000E+00   0.000000E+00 
1.550000E+00    -3.381929E-01   -2.443114E-01    -9.388157E-02   0.000000E+00   0.000000E+00 
1.560000E+00    -3.380433E-01   -2.441649E-01    -9.387837E-02   0.000000E+00   0.000000E+00 
1.570000E+00    -3.378672E-01   -2.440186E-01    -9.384859E-02   0.000000E+00   0.000000E+00 
1.580000E+00    -3.377769E-01   -2.439579E-01    -9.381893E-02   0.000000E+00   0.000000E+00 
1.590000E+00    -3.376270E-01   -2.438112E-01    -9.381582E-02   0.000000E+00   0.000000E+00 
1.600000E+00    -3.374504E-01   -2.436642E-01    -9.378622E-02   0.000000E+00   0.000000E+00 
1.610000E+00    -3.373000E-01   -2.435172E-01    -9.378286E-02   0.000000E+00   0.000000E+00 
1.620000E+00    -3.372096E-01   -2.434562E-01    -9.375340E-02   0.000000E+00   0.000000E+00 
1.630000E+00    -3.370337E-01   -2.433098E-01    -9.372389E-02   0.000000E+00   0.000000E+00 
1.640000E+00    -3.368835E-01   -2.431629E-01    -9.372057E-02   0.000000E+00   0.000000E+00 
1.650000E+00    -3.367935E-01   -2.431024E-01    -9.369107E-02   0.000000E+00   0.000000E+00 
1.660000E+00    -3.366443E-01   -2.429563E-01    -9.368797E-02   0.000000E+00   0.000000E+00 
1.670000E+00    -3.364677E-01   -2.428095E-01    -9.365820E-02   0.000000E+00   0.000000E+00 
1.680000E+00    -3.362911E-01   -2.426625E-01    -9.362863E-02   0.000000E+00   0.000000E+00 
1.690000E+00    -3.362277E-01   -2.426020E-01    -9.362565E-02   0.000000E+00   0.000000E+00 
1.700000E+00    -3.360509E-01   -2.424549E-01    -9.359601E-02   0.000000E+00   0.000000E+00 
1.710000E+00    -3.359005E-01   -2.423077E-01    -9.359283E-02   0.000000E+00   0.000000E+00 
1.720000E+00    -3.358105E-01   -2.422470E-01    -9.356348E-02   0.000000E+00   0.000000E+00 
1.730000E+00    -3.356343E-01   -2.421004E-01    -9.353394E-02   0.000000E+00   0.000000E+00 
1.740000E+00    -3.354844E-01   -2.419537E-01    -9.353074E-02   0.000000E+00   0.000000E+00 
1.750000E+00    -3.353084E-01   -2.418072E-01    -9.350118E-02   0.000000E+00   0.000000E+00 
1.760000E+00    -3.352448E-01   -2.417468E-01    -9.349801E-02   0.000000E+00   0.000000E+00 
1.770000E+00    -3.350685E-01   -2.415999E-01    -9.346860E-02   0.000000E+00   0.000000E+00 
1.780000E+00    -3.348919E-01   -2.414529E-01    -9.343893E-02   0.000000E+00   0.000000E+00 
1.790000E+00    -3.348280E-01   -2.413921E-01    -9.343593E-02   0.000000E+00   0.000000E+00 
1.800000E+00    -3.346511E-01   -2.412447E-01    -9.340639E-02   0.000000E+00   0.000000E+00 
1.810000E+00    -3.345012E-01   -2.410982E-01    -9.340300E-02   0.000000E+00   0.000000E+00 
1.820000E+00    -3.344109E-01   -2.410372E-01    -9.337370E-02   0.000000E+00   0.000000E+00 
1.830000E+00    -3.342349E-01   -2.408907E-01    -9.334417E-02   0.000000E+00   0.000000E+00 
1.840000E+00    -3.340855E-01   -2.407444E-01    -9.334109E-02   0.000000E+00   0.000000E+00 
1.850000E+00    -3.339090E-01   -2.405974E-01    -9.331157E-02   0.000000E+00   0.000000E+00 
1.860000E+00    -3.338453E-01   -2.405367E-01    -9.330855E-02   0.000000E+00   0.000000E+00 
1.870000E+00    -3.336690E-01   -2.403898E-01    -9.327913E-02   0.000000E+00   0.000000E+00 
1.880000E+00    -3.334921E-01   -2.402426E-01    -9.324948E-02   0.000000E+00   0.000000E+00 
1.890000E+00    -3.334277E-01   -2.401813E-01    -9.324642E-02   0.000000E+00   0.000000E+00 
1.900000E+00    -3.332512E-01   -2.400342E-01    -9.321706E-02   0.000000E+00   0.000000E+00 
1.910000E+00    -3.331020E-01   -2.398880E-01    -9.321403E-02   0.000000E+00   0.000000E+00 
1.920000E+00    -3.330114E-01   -2.398270E-01    -9.318439E-02   0.000000E+00   0.000000E+00 
1.930000E+00    -3.328361E-01   -2.396809E-01    -9.315522E-02   0.000000E+00   0.000000E+00 
1.940000E+00    -3.326866E-01   -2.395344E-01    -9.315212E-02   0.000000E+00   0.000000E+00 
1.950000E+00    -3.325093E-01   -2.393866E-01    -9.312267E-02   0.000000E+00   0.000000E+00 
1.960000E+00    -3.324463E-01   -2.393264E-01    -9.311986E-02   0.000000E+00   0.000000E+00 
1.970000E+00    -3.322696E-01   -2.391793E-01    -9.309027E-02   0.000000E+00   0.000000E+00 
1.980000E+00    -3.320925E-01   -2.390316E-01    -9.306083E-02   0.000000E+00   0.000000E+00 
1.990000E+00    -3.320286E-01   -2.389708E-01    -9.305775E-02   0.000000E+00   0.000000E+00 
2.000000E+00    -3.318526E-01   -2.388243E-01    -9.302826E-02   0.000000E+00   0.000000E+00 
2.010000E+00    -3.317030E-01   -2.386776E-01    -9.302541E-02   0.000000E+00   0.000000E+00 
2.020000E+00    -3.316130E-01   -2.386171E-01    -9.299593E-02   0.000000E+00   0.000000E+00 
2.030000E+00    -3.314367E-01   -2.384702E-01    -9.296646E-02   0.000000E+00   0.000000E+00 
2.040000E+00    -3.312869E-01   -2.383234E-01    -9.296356E-02   0.000000E+00   0.000000E+00 
2.050000E+00    -3.311099E-01   -2.381757E-01    -9.293412E-02   0.000000E+00   0.000000E+00 
2.060000E+00    -3.310464E-01   -2.381153E-01    -9.293103E-02   0.000000E+00   0.000000E+00 
2.070000E+00    -3.308697E-01   -2.379680E-01    -9.290176E-02   0.000000E+00   0.000000E+00 
2.080000E+00    -3.306931E-01   -2.378208E-01    -9.287237E-02   0.000000E+00   0.000000E+00 
2.090000E+00    -3.306299E-01   -2.377607E-01    -9.286924E-02   0.000000E+00   0.000000E+00 
2.100000E+00    -3.304537E-01   -2.376137E-01    -9.284000E-02   0.000000E+00   0.000000E+00 
2.110000E+00    -3.303041E-01   -2.374669E-01    -9.283711E-02   0.000000E+00   0.000000E+00 
2.120000E+00    -3.302139E-01   -2.374063E-01    -9.280755E-02   0.000000E+00   0.000000E+00 
2.130000E+00    -3.300376E-01   -2.372593E-01    -9.277824E-02   0.000000E+00   0.000000E+00 
2.140000E+00    -3.298872E-01   -2.371119E-01    -9.277535E-02   0.000000E+00   0.000000E+00 
2.150000E+00    -3.297110E-01   -2.369650E-01    -9.274600E-02   0.000000E+00   0.000000E+00 
