TIME[ns],    Itot[uA],
0    -0.344649
0.0598003    -0.343747
0.119601    -0.342898
0.179401    -0.342035
0.239201    -0.341178
0.299002    -0.340307
0.358802    -0.339424
0.418602    -0.338134
0.478403    -0.337263
0.538203    -0.336402
0.598003    -0.335522
0.657804    -0.334636
0.717604    -0.333754
0.777405    -0.332958
0.837205    -0.332078
0.897005    -0.331216
0.956806    -0.330292
1.01661    -0.329395
1.07641    -0.32853
1.13621    -0.327634
1.19601    -0.32673
1.25581    -0.325854
1.31561    -0.324965
1.37541    -0.324059
1.43521    -0.323197
1.49501    -0.322276
1.55481    -0.321487
1.61461    -0.320568
1.67441    -0.319684
1.73421    -0.318823
1.79401    -0.318298
1.85381    -0.317408
1.91361    -0.316477
1.97341    -0.315617
2.03321    -0.314723
2.09301    -0.314196
2.15281    -0.313289
2.21261    -0.312413
2.27241    -0.311522
2.33221    -0.310682
2.39201    -0.310211
2.45181    -0.309278
2.51161    -0.308411
2.57141    -0.307879
2.63122    -0.307007
2.69102    -0.306105
2.75082    -0.305216
2.81062    -0.304713
2.87042    -0.303798
2.93022    -0.302932
2.99002    -0.302404
3.04982    -0.301521
3.10962    -0.300697
3.16942    -0.300199
3.22922    -0.299319
3.28902    -0.298782
3.34882    -0.297936
3.40862    -0.297011
3.46842    -0.296545
3.52822    -0.295617
3.58802    -0.294746
3.64782    -0.294218
3.70762    -0.293347
3.76742    -0.292827
3.82722    -0.291957
3.88702    -0.291127
3.94682    -0.290621
4.00662    -0.289719
4.06642    -0.289247
4.12622    -0.288351
4.18602    -0.287862
4.24582    -0.286963
4.30562    -0.286495
4.36543    -0.28558
4.42523    -0.284726
4.48503    -0.284194
4.54483    -0.283338
4.60463    -0.282895
4.66443    -0.282038
4.72423    -0.281514
4.78403    -0.280654
4.84383    -0.280119
4.90363    -0.279265
4.96343    -0.278737
5.02323    -0.277887
5.08303    -0.276974
5.14283    -0.276519
5.20263    -0.275604
5.26243    -0.275148
5.32223    -0.274232
5.38203    -0.273865
5.44183    -0.272945
5.50163    -0.272491
5.56143    -0.27158
5.62123    -0.271117
5.68103    -0.270208
5.74083    -0.269748
5.80063    -0.268845
5.86043    -0.268371
5.92023    -0.267476
5.98003    -0.267011
6.03984    -0.266121
6.09964    -0.265648
6.15944    -0.264837
6.21924    -0.264375
6.27904    -0.26347
6.33884    -0.263012
6.39864    -0.262116
6.45844    -0.261659
6.51824    -0.260754
6.57804    -0.260281
6.63784    -0.259392
6.69764    -0.258926
6.75744    -0.258035
6.81724    -0.257571
6.87704    -0.256685
6.93684    -0.256298
6.99664    -0.255391
7.05644    -0.254936
7.11624    -0.25404
7.17604    -0.253586
7.23584    -0.252696
7.29564    -0.252239
7.35544    -0.25135
7.41524    -0.250888
7.47504    -0.249997
7.53484    -0.249544
7.59464    -0.24865
7.65444    -0.248177
7.71424    -0.247376
7.77405    -0.246914
7.83385    -0.246024
7.89365    -0.245573
7.95345    -0.244689
8.01325    -0.244235
8.07305    -0.243347
8.13285    -0.242873
8.19265    -0.242002
8.25245    -0.241515
8.31225    -0.240653
8.37205    -0.240176
8.43185    -0.239395
8.49165    -0.238906
8.55145    -0.23805
8.61125    -0.237565
8.67105    -0.236708
8.73085    -0.236223
8.79065    -0.235375
8.85045    -0.234892
8.91025    -0.234416
8.97005    -0.233538
9.02985    -0.233082
9.08965    -0.232205
9.14945    -0.231749
9.20925    -0.230951
9.26905    -0.230495
9.32885    -0.229603
9.38865    -0.229147
9.44845    -0.228264
9.50826    -0.227809
9.56806    -0.226927
9.62786    -0.226478
9.68766    -0.225594
9.74746    -0.225129
9.80726    -0.224261
9.86706    -0.223798
9.92686    -0.222924
9.98666    -0.222538
10.0465    -0.22168
10.1063    -0.221208
10.1661    -0.220342
10.2259    -0.219875
10.2857    -0.219015
10.3455    -0.218534
10.4053    -0.217686
10.4651    -0.217203
10.5249    -0.216341
10.5847    -0.215876
10.6445    -0.215013
10.7043    -0.214529
10.7641    -0.214159
10.8239    -0.213288
10.8837    -0.212836
10.9435    -0.211956
11.0033    -0.211494
11.0631    -0.210615
11.1229    -0.210167
11.1827    -0.209289
11.2425    -0.208843
11.3023    -0.207964
11.3621    -0.207499
11.4219    -0.206637
11.4817    -0.206174
11.5415    -0.205385
11.6013    -0.204915
11.6611    -0.204059
11.7209    -0.203589
11.7807    -0.20273
11.8405    -0.202266
11.9003    -0.20141
11.9601    -0.200932
12.0199    -0.200088
12.0797    -0.19961
12.1395    -0.19875
12.1993    -0.198288
12.2591    -0.19743
12.3189    -0.197031
12.3787    -0.19658
12.4385    -0.195709
12.4983    -0.195258
12.5581    -0.194378
12.6179    -0.193917
12.6777    -0.193041
12.7375    -0.192596
12.7973    -0.19172
12.8571    -0.191276
12.9169    -0.190397
12.9767    -0.189938
13.0365    -0.189162
13.0963    -0.188703
13.1561    -0.18783
13.2159    -0.187365
13.2757    -0.18651
13.3355    -0.186042
13.3953    -0.185185
13.4551    -0.184721
13.5149    -0.183865
13.5747    -0.183386
13.6345    -0.182544
13.6943    -0.182067
13.7541    -0.181209
13.8139    -0.180813
13.8737    -0.179975
13.9335    -0.179495
13.9933    -0.179045
14.0531    -0.178176
14.1129    -0.177726
14.1727    -0.17684
14.2325    -0.176389
14.2923    -0.175513
14.3521    -0.175069
14.4119    -0.174193
14.4717    -0.173732
14.5315    -0.172871
14.5913    -0.172496
14.6511    -0.171635
14.7109    -0.171176
14.7707    -0.170303
14.8305    -0.169839
14.8903    -0.168979
14.9501    -0.168517
15.0099    -0.167661
15.0697    -0.167199
15.1295    -0.166341
15.1893    -0.165865
15.2491    -0.165006
15.3089    -0.164545
15.3687    -0.163771
15.4285    -0.163291
15.4883    -0.162449
15.5481    -0.161971
15.6079    -0.161518
15.6677    -0.160649
15.7275    -0.160196
15.7873    -0.159311
15.8471    -0.158859
15.9069    -0.157982
15.9667    -0.157537
16.0265    -0.156662
16.0863    -0.156197
16.1461    -0.155421
16.2059    -0.15496
16.2657    -0.154088
16.3255    -0.153637
16.3853    -0.152763
16.4451    -0.152292
16.5049    -0.151434
16.5647    -0.150968
16.6245    -0.15011
16.6843    -0.149629
16.7441    -0.148784
16.8039    -0.148303
16.8637    -0.147528
16.9235    -0.147062
16.9833    -0.146203
17.0431    -0.145716
17.1029    -0.145262
17.1627    -0.144388
17.2225    -0.143934
17.2823    -0.14305
17.3421    -0.142588
17.4019    -0.141704
17.4617    -0.141256
17.5215    -0.140371
17.5813    -0.139923
17.6411    -0.13912
17.7009    -0.138657
17.7607    -0.137787
17.8205    -0.13732
17.8803    -0.136436
17.9401    -0.135965
17.9999    -0.135099
18.0597    -0.134625
18.1195    -0.133756
18.1793    -0.133284
18.2391    -0.132413
18.2989    -0.131925
18.3587    -0.131069
18.4185    -0.130665
18.4783    -0.129794
18.5381    -0.129318
18.5979    -0.128443
18.6577    -0.127945
18.7175    -0.127478
18.7773    -0.126592
18.8371    -0.126125
18.8969    -0.12522
18.9567    -0.124748
