TIME[ns],     Itot[uA],      Ie[uA],     Ih[uA],      Ieg[uA],      Ihg[uA] 
0.000000E+00    -1.470387E+00   -9.308561E-01    -5.395313E-01   0.000000E+00   0.000000E+00 
1.000000E-02    -1.469673E+00   -9.309525E-01    -5.387202E-01   0.000000E+00   0.000000E+00 
2.000000E-02    -1.466893E+00   -9.292385E-01    -5.376547E-01   0.000000E+00   0.000000E+00 
3.000000E-02    -1.463466E+00   -9.266208E-01    -5.368451E-01   0.000000E+00   0.000000E+00 
4.000000E-02    -1.459781E+00   -9.240021E-01    -5.357794E-01   0.000000E+00   0.000000E+00 
5.000000E-02    -1.456354E+00   -9.213840E-01    -5.349701E-01   0.000000E+00   0.000000E+00 
6.000000E-02    -1.452670E+00   -9.187655E-01    -5.339047E-01   0.000000E+00   0.000000E+00 
7.000000E-02    -1.449243E+00   -9.161468E-01    -5.330961E-01   0.000000E+00   0.000000E+00 
8.000000E-02    -1.446269E+00   -9.139812E-01    -5.322879E-01   0.000000E+00   0.000000E+00 
9.000000E-02    -1.442585E+00   -9.113625E-01    -5.312229E-01   0.000000E+00   0.000000E+00 
1.000000E-01    -1.439159E+00   -9.087443E-01    -5.304147E-01   0.000000E+00   0.000000E+00 
1.100000E-01    -1.435476E+00   -9.061255E-01    -5.293501E-01   0.000000E+00   0.000000E+00 
1.200000E-01    -1.432050E+00   -9.035069E-01    -5.285428E-01   0.000000E+00   0.000000E+00 
1.300000E-01    -1.428367E+00   -9.008882E-01    -5.274785E-01   0.000000E+00   0.000000E+00 
1.400000E-01    -1.424941E+00   -8.982697E-01    -5.266712E-01   0.000000E+00   0.000000E+00 
1.500000E-01    -1.421516E+00   -8.956513E-01    -5.258642E-01   0.000000E+00   0.000000E+00 
1.600000E-01    -1.417834E+00   -8.930328E-01    -5.248010E-01   0.000000E+00   0.000000E+00 
1.700000E-01    -1.414861E+00   -8.908664E-01    -5.239943E-01   0.000000E+00   0.000000E+00 
1.800000E-01    -1.411179E+00   -8.882479E-01    -5.229316E-01   0.000000E+00   0.000000E+00 
1.900000E-01    -1.407754E+00   -8.856290E-01    -5.221255E-01   0.000000E+00   0.000000E+00 
2.000000E-01    -1.404074E+00   -8.830106E-01    -5.210632E-01   0.000000E+00   0.000000E+00 
2.100000E-01    -1.400649E+00   -8.803916E-01    -5.202576E-01   0.000000E+00   0.000000E+00 
2.200000E-01    -1.396968E+00   -8.777725E-01    -5.191958E-01   0.000000E+00   0.000000E+00 
2.300000E-01    -1.393545E+00   -8.751541E-01    -5.183907E-01   0.000000E+00   0.000000E+00 
2.400000E-01    -1.390121E+00   -8.725348E-01    -5.175863E-01   0.000000E+00   0.000000E+00 
2.500000E-01    -1.386441E+00   -8.699157E-01    -5.165253E-01   0.000000E+00   0.000000E+00 
2.600000E-01    -1.383470E+00   -8.677496E-01    -5.157209E-01   0.000000E+00   0.000000E+00 
2.700000E-01    -1.379791E+00   -8.651305E-01    -5.146605E-01   0.000000E+00   0.000000E+00 
2.800000E-01    -1.376368E+00   -8.625115E-01    -5.138567E-01   0.000000E+00   0.000000E+00 
2.900000E-01    -1.372689E+00   -8.598920E-01    -5.127968E-01   0.000000E+00   0.000000E+00 
