TIME[ns],    Itot[uA],
5.50116    -57.0091
5.52006    -60.9993
5.53897    -57.0294
5.55787    -58.9774
5.57677    -59.7682
5.59568    -59.8899
5.61458    -56.6901
5.63349    -58.327
5.65239    -59.6072
5.6713    -58.9347
5.6902    -58.3016
5.7091    -58.4008
5.72801    -59.6438
5.74691    -59.1926
5.76582    -60.7016
5.78472    -58.0281
5.80363    -58.7109
5.82253    -60.5281
5.84144    -57.1121
5.86034    -60.322
5.87924    -59.472
5.89815    -61.4071
5.91705    -59.106
5.93596    -58.8756
5.95486    -60.6127
5.97377    -57.4769
5.99267    -60.334
6.01157    -59.4594
6.03048    -59.9358
6.04938    -60.4004
6.06829    -59.0791
6.08719    -60.1819
6.1061    -58.6362
6.125    -60.9692
6.1439    -59.0071
6.16281    -59.9719
6.18171    -59.6735
6.20062    -60.7104
6.21952    -59.5791
6.23843    -60.9092
6.25733    -59.8232
6.27623    -61.1528
6.29514    -59.9077
6.31404    -59.6203
6.33295    -59.6427
6.35185    -60.4497
6.37076    -62.0568
6.38966    -58.6822
6.40856    -61.3348
6.42747    -59.3857
6.44637    -59.6408
6.46528    -61.4599
6.48418    -59.6669
6.50309    -61.746
6.52199    -60.748
6.5409    -60.4115
6.5598    -61.4647
6.5787    -59.7306
6.59761    -62.2393
6.61651    -58.1072
6.63542    -61.9845
6.65432    -59.3926
6.67323    -62.109
6.69213    -60.4484
6.71103    -60.2528
6.72994    -61.4652
6.74884    -61.8053
6.76775    -60.0656
6.78665    -60.0914
6.80556    -59.5615
6.82446    -61.0917
6.84336    -61.139
6.86227    -59.9556
6.88117    -60.824
6.90008    -62.0539
6.91898    -63.2414
6.93789    -58.5277
6.95679    -61.4656
6.97569    -61.7384
6.9946    -63.2936
7.0135    -61.156
7.03241    -60.6203
7.05131    -61.9969
7.07022    -61.5048
7.08912    -62.2072
7.10802    -61.2302
7.12693    -60.6719
7.14583    -62.0871
7.16474    -61.0863
7.18364    -62.2584
7.20255    -59.6945
7.22145    -63.1286
7.24035    -61.5667
7.25926    -60.3452
7.27816    -61.5518
7.29707    -60.8756
7.31597    -62.7744
7.33488    -59.8031
7.35378    -62.1076
7.37269    -59.7409
7.39159    -63.8639
7.41049    -62.6122
7.4294    -61.8919
7.4483    -61.7252
7.46721    -61.565
7.48611    -63.5532
7.50502    -60.9973
7.52392    -63.2487
7.54282    -63.5297
7.56173    -60.7283
7.58063    -63.776
7.59954    -62.377
7.61844    -62.1214
7.63735    -61.2776
7.65625    -62.1623
7.67515    -60.5028
7.69406    -63.3356
7.71296    -62.2768
7.73187    -63.7057
