TIME[ns],    Itot[uA],
0    -0.0716525
0.192717    -0.0714963
0.385434    -0.0712534
0.578151    -0.0710086
0.770868    -0.0708504
0.963585    -0.0706069
1.1563    -0.070361
1.34902    -0.0702052
1.54174    -0.0699571
1.73445    -0.0697178
1.92717    -0.0695525
2.11989    -0.0693082
2.3126    -0.0691442
2.50532    -0.0689042
2.69804    -0.0686559
2.89076    -0.0684931
3.08347    -0.0682595
3.27619    -0.0680939
3.46891    -0.0678575
3.66162    -0.0676094
3.85434    -0.0674394
4.04706    -0.0671931
4.23977    -0.0670264
4.43249    -0.0667831
4.62521    -0.0666115
4.81793    -0.0663644
5.01064    -0.0661989
5.20336    -0.0659531
5.39608    -0.0657848
5.58879    -0.0656198
5.78151    -0.0653685
5.97423    -0.0652062
6.16694    -0.064971
6.35966    -0.0648041
6.55238    -0.064637
6.7451    -0.0643875
6.93781    -0.0642176
7.13053    -0.0640508
7.32325    -0.0637955
7.51596    -0.0636289
7.70868    -0.0634588
7.9014    -0.063212
8.09411    -0.0630415
8.28683    -0.0628726
8.47955    -0.0627051
8.67227    -0.0625396
8.86498    -0.0622842
9.0577    -0.0621315
9.25042    -0.0619637
9.44313    -0.0617933
9.63585    -0.0616232
9.82857    -0.0613714
10.0213    -0.0612042
10.214    -0.0610369
10.4067    -0.0608695
10.5994    -0.0606949
10.7922    -0.0605214
10.9849    -0.060355
11.1776    -0.060186
11.3703    -0.0599379
11.563    -0.0597649
11.7557    -0.0595934
11.9485    -0.0594261
12.1412    -0.0592746
12.3339    -0.0590984
12.5266    -0.0589289
12.7193    -0.0587591
12.912    -0.058589
13.1048    -0.058421
13.2975    -0.0582536
13.4902    -0.0580868
13.6829    -0.0579098
13.8756    -0.0577386
14.0683    -0.0575743
14.2611    -0.057404
14.4538    -0.0572352
14.6465    -0.0570647
14.8392    -0.05689
15.0319    -0.0567347
15.2246    -0.0565633
15.4174    -0.0563946
15.6101    -0.0562269
15.8028    -0.0560557
15.9955    -0.0558907
16.1882    -0.0557168
16.3809    -0.0555447
16.5737    -0.0554596
16.7664    -0.0552913
16.9591    -0.0551184
17.1518    -0.0549473
17.3445    -0.0547797
17.5372    -0.0546083
17.73    -0.0544391
17.9227    -0.054263
18.1154    -0.0541118
18.3081    -0.0539463
18.5008    -0.0538636
18.6936    -0.0536902
18.8863    -0.0535132
19.079    -0.0533469
19.2717    -0.0531797
19.4644    -0.0530134
19.6571    -0.0528398
19.8499    -0.0526637
20.0426    -0.052581
20.2353    -0.0524119
20.428    -0.0522438
20.6207    -0.0520766
20.8134    -0.0519015
21.0062    -0.0517325
21.1989    -0.0515802
21.3916    -0.0514991
21.5843    -0.0513238
21.777    -0.0511536
21.9697    -0.0509875
22.1625    -0.0508166
22.3552    -0.0506485
22.5479    -0.0505616
22.7406    -0.0503895
22.9333    -0.0502205
23.126    -0.0500527
23.3188    -0.0498849
23.5115    -0.049714
23.7042    -0.0496293
23.8969    -0.0494615
24.0896    -0.049307
24.2823    -0.0491393
24.4751    -0.0489676
24.6678    -0.0488815
24.8605    -0.0487103
25.0532    -0.0485466
25.2459    -0.0483748
25.4386    -0.0482038
25.6314    -0.048039
25.8241    -0.0479493
26.0168    -0.0477832
26.2095    -0.0476127
26.4022    -0.0474445
26.5949    -0.0472758
26.7877    -0.0471926
26.9804    -0.0470228
27.1731    -0.0468683
27.3658    -0.0466981
27.5585    -0.0465337
27.7512    -0.0464483
27.944    -0.0462784
28.1367    -0.0461066
28.3294    -0.0459417
28.5221    -0.0458546
28.7148    -0.0456854
28.9076    -0.0455168
29.1003    -0.0453485
29.293    -0.04518
29.4857    -0.0450975
29.6784    -0.0449276
29.8711    -0.0447566
30.0639    -0.044606
30.2566    -0.0444417
30.4493    -0.0443567
30.642    -0.0441799
30.8347    -0.0440188
31.0274    -0.043848
31.2202    -0.0437636
31.4129    -0.0435958
31.6056    -0.0434273
31.7983    -0.0432559
31.991    -0.0430928
32.1837    -0.0430048
32.3765    -0.0428369
32.5692    -0.0426691
32.7619    -0.0425022
32.9546    -0.0424146
33.1473    -0.0422628
33.34    -0.0420935
33.5328    -0.0419293
33.7255    -0.0417606
33.9182    -0.041671
34.1109    -0.0415015
34.3036    -0.0413366
34.4963    -0.0411694
34.6891    -0.0410823
34.8818    -0.0409123
35.0745    -0.040748
35.2672    -0.0405814
35.4599    -0.0404931
35.6526    -0.040322
35.8454    -0.0401576
36.0381    -0.0399908
36.2308    -0.0398365
36.4235    -0.0397489
36.6162    -0.0395812
36.8089    -0.0394161
37.0017    -0.0392459
37.1944    -0.0391574
37.3871    -0.038988
37.5798    -0.0388256
37.7725    -0.038654
37.9653    -0.0385657
38.158    -0.0383977
38.3507    -0.0382339
38.5434    -0.0380616
38.7361    -0.0379756
38.9288    -0.0378052
39.1216    -0.0376567
39.3143    -0.0374865
39.507    -0.0373183
39.6997    -0.0372265
39.8924    -0.0370643
40.0851    -0.0368964
40.2779    -0.0367241
40.4706    -0.0366328
40.6633    -0.0364689
40.856    -0.0363012
41.0487    -0.0361294
41.2414    -0.0360424
41.4342    -0.0358738
41.6269    -0.0357057
41.8196    -0.0355338
42.0123    -0.0354452
42.205    -0.0352922
42.3977    -0.0351239
42.5905    -0.0349514
42.7832    -0.0348625
42.9759    -0.0346933
43.1686    -0.0345238
43.3613    -0.0343533
43.554    -0.0342622
43.7468    -0.0340934
43.9395    -0.0339258
44.1322    -0.0337521
44.3249    -0.0335793
44.5176    -0.0334921
44.7103    -0.0333235
44.9031    -0.0331489
45.0958    -0.0329908
45.2885    -0.0329023
45.4812    -0.0327353
45.6739    -0.0325611
45.8666    -0.0323887
46.0594    -0.032295
46.2521    -0.03213
46.4448    -0.0319511
46.6375    -0.0317797
46.8302    -0.0316855
47.023    -0.0315199
47.2157    -0.0313422
47.4084    -0.0311672
47.6011    -0.0310736
47.7938    -0.0309065
47.9865    -0.0307308
48.1793    -0.0305692
48.372    -0.030473
48.5647    -0.0303035
48.7574    -0.0301292
48.9501    -0.0299502
49.1428    -0.029852
49.3356    -0.0296808
49.5283    -0.0295052
49.721    -0.0293245
49.9137    -0.029229
50.1064    -0.0290548
50.2991    -0.0288774
50.4919    -0.0286959
50.6846    -0.0285977
50.8773    -0.0284224
51.07    -0.0282453
51.2627    -0.0280769
51.4554    -0.0278968
51.6482    -0.0277995
51.8409    -0.0276196
52.0336    -0.0274358
52.2263    -0.0272547
52.419    -0.0271546
52.6117    -0.0269722
52.8045    -0.0267875
52.9972    -0.0266034
53.1899    -0.0265039
53.3826    -0.0263212
53.5753    -0.0261309
53.768    -0.0259448
53.9608    -0.0258422
54.1535    -0.0256594
54.3462    -0.0254824
54.5389    -0.0252926
54.7316    -0.0251874
54.9243    -0.0250033
55.1171    -0.0248075
55.3098    -0.0246185
55.5025    -0.024507
55.6952    -0.0243198
55.8879    -0.0241216
56.0807    -0.0239299
56.2734    -0.023817
56.4661    -0.0236253
56.6588    -0.0234229
56.8515    -0.0232274
57.0442    -0.0231126
57.237    -0.0229345
57.4297    -0.0227294
57.6224    -0.0225276
57.8151    -0.0224077
58.0078    -0.022209
58.2005    -0.0220064
58.3933    -0.0217982
58.586    -0.0216721
58.7787    -0.0214676
58.9714    -0.021261
59.1641    -0.0210509
59.3568    -0.020921
59.5496    -0.0207099
59.7423    -0.0204973
59.935    -0.020283
60.1277    -0.020151
60.3204    -0.0199509
60.5131    -0.0197311
60.7059    -0.0195096
60.8986    -0.0192904
61.0913    -0.0191551
61.284    -0.0189278
61.4767    -0.0187014
61.6694    -0.0184759
61.8622    -0.0183316
62.0549    -0.0181043
62.2476    -0.0178701
62.4403    -0.0176371
62.633    -0.017485
62.8257    -0.0172529
63.0185    -0.0170164
63.2112    -0.0167754
63.4039    -0.0166312
63.5966    -0.016391
63.7893    -0.0161519
63.982    -0.0159059
64.1748    -0.0157386
64.3675    -0.0154909
64.5602    -0.0152441
64.7529    -0.0149958
64.9456    -0.0148214
65.1384    -0.0145691
65.3311    -0.0143156
65.5238    -0.0140627
65.7165    -0.0138847
65.9092    -0.0136268
66.1019    -0.013368
66.2947    -0.0131092
66.4874    -0.0129458
66.6801    -0.0126834
66.8728    -0.0124206
67.0655    -0.0121583
67.2582    -0.0119774
67.451    -0.0117129
67.6437    -0.011448
67.8364    -0.0111832
68.0291    -0.0110011
68.2218    -0.0109018
68.4145    -0.0108852
68.6073    -0.0108687
68.8    -0.010852
68.9927    -0.0108357
69.1854    -0.0108194
69.3781    -0.010803
69.5708    -0.010802
69.7636    -0.0107855
69.9563    -0.0107691
70.149    -0.0107526
70.3417    -0.0107362
70.5344    -0.0107199
70.7271    -0.0107034
70.9199    -0.0106869
71.1126    -0.0106704
71.3053    -0.0106541
71.498    -0.0106377
71.6907    -0.0106211
71.8834    -0.0106046
72.0762    -0.0105884
72.2689    -0.0105721
72.4616    -0.0105557
72.6543    -0.010555
72.847    -0.0105387
73.0397    -0.0105224
73.2325    -0.010506
73.4252    -0.0104897
73.6179    -0.0104735
73.8106    -0.0104572
74.0033    -0.0104408
74.1961    -0.0104244
74.3888    -0.0104082
74.5815    -0.0103919
74.7742    -0.0103755
74.9669    -0.0103592
75.1596    -0.0103428
75.3524    -0.0103267
75.5451    -0.0103105
75.7378    -0.0103098
75.9305    -0.0102936
76.1232    -0.0102774
76.3159    -0.0102611
76.5087    -0.0102448
76.7014    -0.0102287
76.8941    -0.0102126
77.0868    -0.0101963
77.2795    -0.01018
77.4722    -0.0101638
77.665    -0.0101477
77.8577    -0.0101314
78.0504    -0.0101151
78.2431    -0.0100989
78.4358    -0.0100828
78.6285    -0.0100667
78.8213    -0.010066
79.014    -0.01005
79.2067    -0.0100338
79.3994    -0.0100177
79.5921    -0.0100014
79.7848    -0.00998536
79.9776    -0.00996931
80.1703    -0.00995321
80.363    -0.00993703
80.5557    -0.00992085
80.7484    -0.0099048
80.9411    -0.00988865
81.1339    -0.00987247
81.3266    -0.00985636
81.5193    -0.00984021
81.712    -0.00982416
81.9047    -0.00982368
82.0974    -0.00980758
82.2902    -0.00979159
82.4829    -0.00977552
82.6756    -0.00975943
82.8683    -0.00974334
83.061    -0.00972731
83.2538    -0.00971132
83.4465    -0.00969524
83.6392    -0.00967915
83.8319    -0.00966309
84.0246    -0.0096471
84.2173    -0.00963105
84.4101    -0.00961495
84.6028    -0.00959889
84.7955    -0.00958285
84.9882    -0.00958241
85.1809    -0.00956639
85.3736    -0.00955041
85.5664    -0.00953446
85.7591    -0.00951848
85.9518    -0.00950249
86.1445    -0.00948643
86.3372    -0.00947045
86.5299    -0.00945452
86.7227    -0.0094385
86.9154    -0.00942249
87.1081    -0.0094065
87.3008    -0.00939056
87.4935    -0.00937458
87.6862    -0.00935854
87.879    -0.00934256
88.0717    -0.0093421
88.2644    -0.0093262
88.4571    -0.0093102
88.6498    -0.00929432
88.8425    -0.00927843
89.0353    -0.0092625
89.228    -0.00924655
89.4207    -0.00923058
89.6134    -0.00921466
89.8061    -0.00919871
89.9988    -0.00918279
90.1916    -0.00916684
90.3843    -0.00915091
90.577    -0.00913498
90.7697    -0.0091191
90.9624    -0.00910312
91.1551    -0.0090872
91.3479    -0.00908683
91.5406    -0.00907091
91.7333    -0.009055
91.926    -0.00903916
92.1187    -0.00902331
92.3114    -0.00900743
92.5042    -0.00899151
92.6969    -0.00897561
92.8896    -0.00895977
93.0823    -0.00894386
93.275    -0.00892799
93.4678    -0.00891208
93.6605    -0.00889621
93.8532    -0.00888032
94.0459    -0.00886444
94.2386    -0.00884855
94.4313    -0.00883269
94.6241    -0.00883237
94.8168    -0.00881648
95.0095    -0.00880065
95.2022    -0.00878482
95.3949    -0.00876901
95.5876    -0.00875317
95.7804    -0.00873733
95.9731    -0.00872144
96.1658    -0.00870564
