TIME[ns],    Itot[uA],
0    -1.11155
0.00231578    -1.11087
0.00463156    -1.10912
0.00694734    -1.10817
0.00926312    -1.10676
0.0115789    -1.10574
0.0138947    -1.10406
0.0162105    -1.10256
0.0185262    -1.10168
0.020842    -1.09988
0.0231578    -1.09928
0.0254736    -1.09752
0.0277894    -1.09656
0.0301051    -1.0948
0.0324209    -1.09329
0.0347367    -1.09244
0.0370525    -1.09062
0.0393682    -1.09004
0.041684    -1.08822
0.0439998    -1.08733
0.0463156    -1.08585
0.0486314    -1.08407
0.0509471    -1.08316
0.0532629    -1.0817
0.0555787    -1.08076
0.0578945    -1.07899
0.0602103    -1.07805
0.062526    -1.07662
0.0648418    -1.0748
0.0671576    -1.07391
0.0694734    -1.07239
0.0717892    -1.07152
0.0741049    -1.06971
0.0764207    -1.06911
0.0787365    -1.06732
0.0810523    -1.06555
0.0833681    -1.06463
0.0856838    -1.06315
0.0879996    -1.06222
0.0903154    -1.06046
0.0926312    -1.05983
0.094947    -1.05807
0.0972627    -1.05626
0.0995785    -1.05568
0.101894    -1.05387
0.10421    -1.05297
0.106526    -1.05147
0.108842    -1.05056
0.111157    -1.04877
0.113473    -1.04701
0.115789    -1.04637
0.118105    -1.04461
0.120421    -1.04366
0.122736    -1.04221
0.125052    -1.04127
0.127368    -1.03952
0.129684    -1.038
0.131999    -1.03711
0.134315    -1.0353
0.136631    -1.03441
0.138947    -1.03291
0.141263    -1.032
0.143578    -1.03019
0.145894    -1.02873
0.14821    -1.02779
0.150526    -1.02603
0.152841    -1.02539
0.155157    -1.02363
0.157473    -1.02269
0.159789    -1.02123
0.162105    -1.01941
0.16442    -1.01852
0.166736    -1.01671
0.169052    -1.01611
0.171368    -1.01431
0.173683    -1.01342
0.175999    -1.0119
0.178315    -1.01013
0.180631    -1.00919
0.182947    -1.00773
0.185262    -1.00679
0.187578    -1.00503
0.189894    -1.00407
0.19221    -1.00261
0.194525    -1.0008
0.196841    -0.999908
0.199157    -0.998404
0.201473    -0.997497
0.203789    -0.995684
0.206104    -0.995089
0.20842    -0.993274
0.210736    -0.99238
0.213052    -0.990858
0.215367    -0.989085
0.217683    -0.98815
0.219999    -0.986371
0.222315    -0.985734
0.224631    -0.983964
0.226946    -0.98301
0.229262    -0.98155
0.231578    -0.979756
0.233894    -0.978839
0.236209    -0.977338
0.238525    -0.976431
0.240841    -0.974617
0.243157    -0.973701
0.245473    -0.972196
0.247788    -0.9713
0.250104    -0.969482
0.25242    -0.967993
0.254736    -0.967068
0.257052    -0.965287
0.259367    -0.964645
0.261683    -0.962876
0.263999    -0.961927
0.266315    -0.960457
0.26863    -0.959503
0.270946    -0.957725
0.273262    -0.955921
0.275578    -0.955315
0.277894    -0.953493
0.280209    -0.952575
0.282525    -0.951086
0.284841    -0.950168
0.287157    -0.948354
0.289472    -0.947762
0.291788    -0.945937
0.294104    -0.944151
0.29642    -0.943208
0.298736    -0.941739
0.301051    -0.940799
0.303367    -0.939012
0.305683    -0.938374
0.307999    -0.936597
0.310314    -0.935644
0.31263    -0.934156
0.314946    -0.933197
0.317262    -0.931413
0.319578    -0.929905
0.321893    -0.928996
0.324209    -0.927168
0.326525    -0.926254
0.328841    -0.924754
0.331156    -0.923829
0.333472    -0.922023
0.335788    -0.921415
0.338104    -0.919604
0.34042    -0.917804
0.342735    -0.91715
0.345051    -0.915369
0.347367    -0.914408
0.349683    -0.912624
0.351998    -0.911976
0.354314    -0.910205
0.35663    -0.909243
0.358946    -0.907772
0.361262    -0.906823
0.363577    -0.905017
0.365893    -0.904386
0.368209    -0.902578
0.370525    -0.900759
0.37284    -0.899833
0.375156    -0.89833
0.377472    -0.897404
0.379788    -0.895595
0.382104    -0.894967
0.384419    -0.893171
0.386735    -0.892219
0.389051    -0.890716
0.391367    -0.889781
0.393682    -0.887971
0.395998    -0.886478
0.398314    -0.885518
0.40063    -0.883738
0.402946    -0.882777
0.405261    -0.881278
0.407577    -0.880323
0.409893    -0.878533
0.412209    -0.877885
0.414524    -0.876081
0.41684    -0.875147
0.419156    -0.873651
0.421472    -0.872706
0.423788    -0.870878
0.426103    -0.869942
0.428419    -0.868442
0.430735    -0.866623
0.433051    -0.86569
0.435367    -0.864183
0.437682    -0.863245
0.439998    -0.861437
0.442314    -0.860787
0.44463    -0.858966
0.446945    -0.85802
0.449261    -0.856205
0.451577    -0.855579
0.453893    -0.853766
0.456209    -0.852819
0.458524    -0.851287
0.46084    -0.850361
0.463156    -0.848535
0.465472    -0.8479
0.467787    -0.846087
0.470103    -0.845141
0.472419    -0.843324
0.474735    -0.841827
0.477051    -0.840852
0.479366    -0.83905
0.481682    -0.838391
0.483998    -0.836583
0.486314    -0.83564
0.488629    -0.83414
0.490945    -0.83317
0.493261    -0.83136
0.495577    -0.830385
0.497893    -0.82889
0.500208    -0.827917
0.502524    -0.826128
0.50484    -0.82547
0.507156    -0.823643
0.509471    -0.822685
0.511787    -0.821189
0.514103    -0.820229
0.516419    -0.818414
0.518735    -0.817758
0.52105    -0.81594
0.523366    -0.814982
0.525682    -0.813159
0.527998    -0.812492
0.530313    -0.81068
0.532629    -0.809726
0.534945    -0.808215
0.537261    -0.806371
0.539577    -0.805435
0.541892    -0.803905
0.544208    -0.802947
0.546524    -0.801129
0.54884    -0.800179
0.551155    -0.798628
0.553471    -0.79768
0.555787    -0.795849
0.558103    -0.795204
0.560419    -0.793363
0.562734    -0.792427
0.56505    -0.790888
0.567366    -0.789931
0.569682    -0.788106
0.571997    -0.787144
0.574313    -0.785609
0.576629    -0.784647
0.578945    -0.782828
0.581261    -0.782177
0.583576    -0.780322
0.585892    -0.779365
0.588208    -0.777829
0.590524    -0.776874
0.59284    -0.775038
0.595155    -0.774093
0.597471    -0.772535
0.599787    -0.771577
0.602103    -0.769739
0.604418    -0.769096
0.606734    -0.767244
0.60905    -0.766288
0.611366    -0.764749
0.613682    -0.763786
0.615997    -0.76195
0.618313    -0.760973
0.620629    -0.759459
0.622945    -0.758473
0.62526    -0.756649
0.627576    -0.755963
0.629892    -0.754147
0.632208    -0.753163
0.634524    -0.751635
0.636839    -0.750658
0.639155    -0.748825
0.641471    -0.747841
0.643787    -0.746287
0.646102    -0.745343
0.648418    -0.743481
0.650734    -0.742834
0.65305    -0.740963
0.655366    -0.740021
0.657681    -0.738442
0.659997    -0.737504
0.662313    -0.735636
0.664629    -0.734711
0.666944    -0.733125
0.66926    -0.732138
0.671576    -0.730304
0.673892    -0.729602
0.676208    -0.727794
0.678523    -0.726775
0.680839    -0.724977
0.683155    -0.724252
0.685471    -0.722455
0.687786    -0.721435
0.690102    -0.719892
0.692418    -0.718906
0.694734    -0.717048
0.69705    -0.716409
0.699365    -0.7154
0.701681    -0.713572
0.703997    -0.712545
0.706313    -0.711025
0.708628    -0.710041
