TIME[ns],     Itot[uA],      Ie[uA],     Ih[uA],      Ieg[uA],      Ihg[uA] 
0.000000E+00    -1.098993E+00   -7.343526E-01    -3.646408E-01   0.000000E+00   0.000000E+00 
1.000000E-02    -1.098061E+00   -7.345409E-01    -3.635205E-01   0.000000E+00   0.000000E+00 
2.000000E-02    -1.094444E+00   -7.325694E-01    -3.618742E-01   0.000000E+00   0.000000E+00 
3.000000E-02    -1.089192E+00   -7.284355E-01    -3.607561E-01   0.000000E+00   0.000000E+00 
4.000000E-02    -1.082860E+00   -7.232198E-01    -3.596399E-01   0.000000E+00   0.000000E+00 
5.000000E-02    -1.075994E+00   -7.179992E-01    -3.579953E-01   0.000000E+00   0.000000E+00 
6.000000E-02    -1.069663E+00   -7.127832E-01    -3.568801E-01   0.000000E+00   0.000000E+00 
7.000000E-02    -1.064409E+00   -7.086469E-01    -3.557624E-01   0.000000E+00   0.000000E+00 
8.000000E-02    -1.057544E+00   -7.034259E-01    -3.541178E-01   0.000000E+00   0.000000E+00 
9.000000E-02    -1.051209E+00   -6.982079E-01    -3.530012E-01   0.000000E+00   0.000000E+00 
1.000000E-01    -1.045957E+00   -6.940718E-01    -3.518857E-01   0.000000E+00   0.000000E+00 
1.100000E-01    -1.039092E+00   -6.888489E-01    -3.502430E-01   0.000000E+00   0.000000E+00 
1.200000E-01    -1.032759E+00   -6.836299E-01    -3.491290E-01   0.000000E+00   0.000000E+00 
1.300000E-01    -1.025895E+00   -6.784100E-01    -3.474850E-01   0.000000E+00   0.000000E+00 
1.400000E-01    -1.020637E+00   -6.742680E-01    -3.463690E-01   0.000000E+00   0.000000E+00 
1.500000E-01    -1.014300E+00   -6.690464E-01    -3.452537E-01   0.000000E+00   0.000000E+00 
1.600000E-01    -1.007439E+00   -6.638269E-01    -3.436124E-01   0.000000E+00   0.000000E+00 
1.700000E-01    -1.001099E+00   -6.586005E-01    -3.424985E-01   0.000000E+00   0.000000E+00 
1.800000E-01    -9.958452E-01   -6.544593E-01    -3.413859E-01   0.000000E+00   0.000000E+00 
1.900000E-01    -9.889823E-01   -6.492388E-01    -3.397435E-01   0.000000E+00   0.000000E+00 
2.000000E-01    -9.826402E-01   -6.440114E-01    -3.386289E-01   0.000000E+00   0.000000E+00 
2.100000E-01    -9.773838E-01   -6.398689E-01    -3.375149E-01   0.000000E+00   0.000000E+00 
2.200000E-01    -9.705203E-01   -6.346448E-01    -3.358754E-01   0.000000E+00   0.000000E+00 
2.300000E-01    -9.641807E-01   -6.294182E-01    -3.347624E-01   0.000000E+00   0.000000E+00 
2.400000E-01    -9.573139E-01   -6.241899E-01    -3.331240E-01   0.000000E+00   0.000000E+00 
2.500000E-01    -9.520591E-01   -6.200485E-01    -3.320107E-01   0.000000E+00   0.000000E+00 
2.600000E-01    -9.457183E-01   -6.148191E-01    -3.308992E-01   0.000000E+00   0.000000E+00 
2.700000E-01    -9.388477E-01   -6.095895E-01    -3.292583E-01   0.000000E+00   0.000000E+00 
2.800000E-01    -9.335944E-01   -6.054451E-01    -3.281493E-01   0.000000E+00   0.000000E+00 
2.900000E-01    -9.272542E-01   -6.002153E-01    -3.270389E-01   0.000000E+00   0.000000E+00 
3.000000E-01    -9.203846E-01   -5.949836E-01    -3.254010E-01   0.000000E+00   0.000000E+00 
3.100000E-01    -9.140440E-01   -5.897535E-01    -3.242904E-01   0.000000E+00   0.000000E+00 
3.200000E-01    -9.087856E-01   -5.856056E-01    -3.231799E-01   0.000000E+00   0.000000E+00 
3.300000E-01    -9.019137E-01   -5.803714E-01    -3.215423E-01   0.000000E+00   0.000000E+00 
3.400000E-01    -8.955735E-01   -5.751402E-01    -3.204334E-01   0.000000E+00   0.000000E+00 
3.500000E-01    -8.897859E-01   -5.709896E-01    -3.187963E-01   0.000000E+00   0.000000E+00 
3.600000E-01    -8.834430E-01   -5.657543E-01    -3.176887E-01   0.000000E+00   0.000000E+00 
3.700000E-01    -8.771004E-01   -5.605192E-01    -3.165811E-01   0.000000E+00   0.000000E+00 
3.800000E-01    -8.702289E-01   -5.552844E-01    -3.149445E-01   0.000000E+00   0.000000E+00 
3.900000E-01    -8.649662E-01   -5.511291E-01    -3.138371E-01   0.000000E+00   0.000000E+00 
4.000000E-01    -8.586204E-01   -5.458910E-01    -3.127294E-01   0.000000E+00   0.000000E+00 
4.100000E-01    -8.517518E-01   -5.406566E-01    -3.110952E-01   0.000000E+00   0.000000E+00 
4.200000E-01    -8.464878E-01   -5.364990E-01    -3.099888E-01   0.000000E+00   0.000000E+00 
4.300000E-01    -8.401433E-01   -5.312588E-01    -3.088845E-01   0.000000E+00   0.000000E+00 
4.400000E-01    -8.332704E-01   -5.260202E-01    -3.072502E-01   0.000000E+00   0.000000E+00 
4.500000E-01    -8.269233E-01   -5.207793E-01    -3.061440E-01   0.000000E+00   0.000000E+00 
4.600000E-01    -8.211276E-01   -5.166177E-01    -3.045099E-01   0.000000E+00   0.000000E+00 
4.700000E-01    -8.147835E-01   -5.113764E-01    -3.034071E-01   0.000000E+00   0.000000E+00 
4.800000E-01    -8.084366E-01   -5.061347E-01    -3.023019E-01   0.000000E+00   0.000000E+00 
